SUBNO,SEX,AGEGRP,RACEGRP,WEIGHTKG,STATURE,HEADCIRC,BITCOR,BITFRONT,BITSUBN,BITCHIN,NECKCIRC,HEADBR,HEADLTH,MINFRBR,MAXFRBR,BIZYGOBR,BIGONLBR,NROOTBR,NOSEBR,LIPLTH,SUBNASAL,MENSELL,NOSEPRO,INTPUPBR,
231,1,1,1,99.7,"1,846",600,381,330,312,350,"-9,999",149,215,110,118,142,125,17,38,50,52,131,22,64.0,
232,1,2,1,95.8,"1,853",585,355,313,295,330,"-9,999",156,201,110,114,144,118,17,33,55,61,136,26,62.0,
233,1,2,1,81.1,"1,746",573,365,305,283,323,"-9,999",153,201,104,109,139,120,17,37,50,53,122,23,64.5,
234,2,2,1,67.2,"1,626",528,337,275,265,300,"-9,999",141,184,105,108,131,100,19,31,49,42,100,18,58.5,
235,1,3,1,112.5,"1,758",551,350,300,293,345,"-9,999",155,187,104,112,146,135,16,36,49,57,131,20,64.0,
236,1,1,1,77.2,"1,832",564,351,305,286,321,"-9,999",151,198,101,107,143,113,16,34,46,50,129,25,64.5,
237,1,2,1,114.2,"1,830",603,355,316,311,355,"-9,999",148,216,110,119,145,142,20,44,59,43,113,18,66.5,
238,1,2,1,117.9,"1,814",604,380,340,325,360,"-9,999",164,206,115,120,155,137,22,41,54,56,141,24,74.5,
239,1,1,1,131.5,"1,756",581,370,295,283,320,"-9,999",151,200,102,106,141,130,16,36,47,49,121,21,59.0,
240,1,1,1,65.7,"1,723",569,350,321,295,325,"-9,999",160,192,116,123,149,114,18,33,50,54,122,22,65.5,
241,1,2,1,132.1,"1,802",595,357,310,310,355,"-9,999",153,210,113,119,150,139,19,41,53,43,127,20,64.0,
242,1,2,1,87.3,"1,823",565,363,320,295,335,"-9,999",149,195,110,116,140,116,17,36,50,53,127,20,61.5,
243,1,1,1,74.2,"1,706",575,350,310,305,343,"-9,999",152,197,107,111,145,120,18,35,49,57,121,21,62.0,
244,1,1,1,77.4,"1,715",572,370,325,295,320,"-9,999",161,195,115,122,150,111,16,34,51,54,127,25,65.0,
245,1,2,1,87.8,"1,743",565,370,310,285,320,"-9,999",151,194,98,103,140,118,18,37,53,55,126,24,62.0,
246,1,3,1,93.4,"1,724",603,375,335,307,335,"-9,999",156,209,113,115,144,125,21,38,54,55,129,21,67.0,
247,1,2,1,106.9,"1,850",569,350,323,315,355,"-9,999",150,200,109,115,146,129,13,37,57,55,119,20,68.5,
248,1,3,1,112.8,"1,846",605,365,335,314,350,"-9,999",159,212,112,115,145,135,16,38,51,59,128,23,63.0,
249,1,1,1,83.2,"1,789",574,360,316,295,330,"-9,999",157,197,108,113,145,120,16,41,55,54,124,19,64.5,
250,1,2,1,106.4,"1,804",585,355,304,290,335,"-9,999",156,204,99,106,138,111,15,35,49,57,125,24,61.0,
251,1,2,1,101.0,"1,867",600,370,330,303,340,"-9,999",156,211,110,116,155,113,18,36,53,55,133,25,67.0,
252,1,1,1,91.6,"1,845",555,355,303,295,325,"-9,999",147,199,103,110,145,120,17,29,49,52,117,18,64.5,
253,1,2,1,80.8,"1,729",595,360,320,298,335,"-9,999",159,204,108,111,146,116,19,37,54,54,118,20,64.5,
254,1,2,1,102.7,"1,822",598,358,305,298,345,"-9,999",160,210,110,115,146,123,18,35,55,52,126,19,66.5,
255,1,2,1,96.4,"1,773",582,365,310,281,317,"-9,999",153,202,105,110,144,120,17,29,45,54,120,20,67.5,
256,1,3,1,91.7,"1,794",591,360,319,310,342,"-9,999",152,207,113,116,145,125,16,38,61,57,114,16,65.5,
257,1,2,1,85.2,"1,777",563,363,303,295,325,"-9,999",151,195,105,113,138,120,18,42,55,49,113,18,63.5,
258,1,2,1,90.5,"1,854",560,370,300,275,310,"-9,999",153,191,105,106,140,113,17,35,45,54,126,19,62.0,
259,1,2,1,89.3,"1,857",589,352,306,290,330,"-9,999",155,207,106,116,141,113,17,34,46,55,131,24,62.5,
260,1,2,1,114.6,"1,877",592,362,325,308,340,"-9,999",150,206,115,120,145,119,16,38,53,53,125,23,66.0,
261,1,2,1,120.5,"1,838",579,355,313,315,350,"-9,999",154,201,108,113,146,130,16,37,59,53,120,21,63.5,
262,1,1,1,85.8,"1,732",580,360,325,290,318,"-9,999",155,201,113,118,142,120,18,36,50,47,116,19,64.5,
263,1,2,1,118.3,"1,846",614,370,335,315,355,"-9,999",163,212,111,120,152,137,23,39,56,51,128,20,74.5,
264,1,2,1,95.7,"1,665",560,338,310,290,330,"-9,999",150,193,108,116,150,133,15,36,53,50,111,19,62.0,
265,1,3,1,89.2,"1,787",575,360,310,290,340,"-9,999",165,191,111,115,148,128,19,38,55,54,126,23,64.5,
266,1,2,1,98.4,"1,815",575,380,320,293,325,"-9,999",151,200,105,109,136,123,19,36,50,55,130,20,62.0,
267,1,1,1,78.4,"1,781",556,340,295,280,305,"-9,999",150,189,110,115,142,113,19,36,46,41,116,20,66.5,
268,1,1,1,133.0,"1,887",600,357,321,317,356,"-9,999",155,214,110,113,150,135,19,39,53,53,117,22,66.0,
269,1,2,1,82.5,"1,726",563,356,295,290,330,"-9,999",150,195,106,111,140,125,17,33,50,51,118,21,63.5,
270,1,1,1,76.4,"1,737",583,370,309,285,310,"-9,999",159,200,110,115,140,111,16,34,52,54,124,22,59.0,
271,1,1,1,81.3,"1,746",575,335,304,290,325,"-9,999",149,201,105,114,140,120,19,35,52,58,125,25,62.0,
272,1,1,1,76.4,"1,698",555,360,305,292,325,"-9,999",148,196,106,111,141,109,19,33,49,50,120,19,63.0,
273,1,2,1,89.3,"1,825",583,364,303,290,345,"-9,999",162,198,108,114,145,120,16,37,55,48,121,17,63.0,
274,1,3,1,87.7,"1,723",580,360,320,293,329,"-9,999",156,201,109,115,145,133,16,40,55,54,130,22,64.5,
275,1,3,1,92.6,"1,754",568,365,315,300,345,"-9,999",151,201,110,113,145,126,16,38,58,51,122,21,63.0,
276,1,1,1,82.7,"1,701",586,370,315,290,330,"-9,999",161,203,111,117,146,130,17,36,55,50,119,17,63.5,
277,1,1,1,120.5,"1,754",597,370,333,335,378,"-9,999",156,206,116,123,157,145,24,38,45,49,129,21,67.0,
278,1,3,1,92.0,"1,701",545,363,290,290,320,"-9,999",154,180,100,108,136,135,17,37,61,54,105,17,58.0,
279,1,3,1,76.8,"1,794",566,345,300,287,325,"-9,999",143,202,104,113,134,111,18,37,51,53,131,21,63.0,
280,1,2,1,89.6,"1,712",586,343,305,290,335,"-9,999",152,211,106,113,137,115,20,36,54,46,120,21,65.5,
281,1,2,1,80.3,"1,780",586,360,316,290,330,"-9,999",155,200,112,115,152,125,21,36,51,52,124,20,66.5,
